,z
5655,3
5670,3
5645,3
5650,3
5660,3
5635,3
5675,3
5665,3
5630,3
5450,3
5345,3
5350,3
5355,3
5460,3
5455,3
5365,3
5380,3
5360,3
5370,3
5375,3
5415,3
5405,3
5440,3
5445,3
5435,3
5420,3
5425,3
5855,3
5410,3
5430,3
5850,3
5825,3
5326,3
5325,3
5390,3
5340,3
5330,2
5385,3
5395,3
5335,3
5320,3
6001,3
6002,3
6003,3
6000,3
6403,3
6405,3
6415,3
6407,3
6410,3
6201,2
6200,2
6371,3
6370,3
6300,3
6004,3
6412,3
6411,3
6310,3
6306,3
6305,3
6400,3
6351,3
6350,3
6341,3
6340,3
6346,3
6345,3
6356,2
6355,2
6226,2
6225,2
6255,2
6261,2
6260,2
6241,2
6240,2
6220,2
6215,2
6250,2
6211,2
6210,2
6236,2
6235,2
6206,2
6205,2
6230,2
6246,2
6245,2
6121,2
6120,2
6140,2
6155,2
6130,2
6165,2
6160,2
6651,3
6650,3
6126,2
6125,2
6653,3
6655,3
6601,2
6600,2
6666,3
6665,3
6675,3
6151,2
6150,2
6170,2
6683,3
6685,3
6670,3
6136,2
6135,2
6680,3
6146,2
6145,2
6422,3
6421,3
6420,3
6441,3
6431,3
6435,3
6425,3
6430,3
6437,3
6440,3
6701,2
6700,2
6711,2
6710,2
6785,2
6775,2
6175,2
6766,2
6765,2
6691,3
6690,3
6756,2
6755,2
6770,2
6180,2
6715,2
6706,2
6705,2
6761,2
6760,2
6751,2
6750,2
6780,2
6116,2
6115,2
6625,2
6101,2
6100,2
6801,2
6800,2
6816,2
6815,2
6746,2
6745,2
6721,2
6720,2
6811,2
6810,2
6805,2
6731,3
6730,3
6726,3
6725,3
6741,3
6740,3
6736,3
6735,3
6831,2
6830,2
6821,2
6820,2
6846,2
6845,2
6841,2
6840,2
6861,2
6860,2
6826,2
6825,2
6851,2
6850,2
6856,2
6855,2
6836,2
6835,2
6321,3
6320,3
6330,3
6335,3
6316,2
6315,2
6325,2
6360,2
6366,2
6365,2
6456,3
6455,3
6520,3
6460,3
6495,3
6465,3
6500,3
6481,3
6480,3
6530,3
6510,3
6475,3
6485,3
6630,3
6470,3
6452,2
6451,2
6445,2
6450,2
6490,2
6633,2
6635,2
6615,2
6644,2
6645,2
6610,2
6611,2
6621,2
6641,2
6640,2
6660,2
6605,2
6620,2
7001,4
7006,4
7021,4
7026,4
7031,4
7036,4
7041,4
7046,4
7011,4
7016,4
7051,4
7056,4
7061,4
7066,4
7071,4
7076,4
8001,2
8002,2
8003,2
8000,2
8051,2
8600,2
8006,2
8004,2
8007,2
8200,2
8551,2
8550,2
8295,2
8545,2
8290,2
8561,2
8560,2
8525,2
8555,2
8616,2
8615,2
8636,2
8635,2
8605,2
8620,2
8626,2
8625,2
8641,2
8640,2
8645,2
8610,2
8630,2
8121,2
8120,2
8110,2
8116,2
8115,2
8126,2
8125,2
8106,2
8105,2
8151,2
8150,2
8100,2
8771,2
8770,2
8264,2
8265,2
8278,2
8277,2
8268,2
8267,2
8270,2
8274,2
8275,2
8260,2
8280,2
8285,2
8254,2
8255,2
8230,2
8238,2
8240,2
8258,2
8257,2
8234,2
8235,2
8250,2
8245,2
8243,2
8242,2
8421,3
8420,3
8450,2
8461,2
8460,2
8441,2
8440,2
8471,2
8470,2
8411,3
8410,3
8400,3
8431,3
8430,3
8301,3
8300,3
8350,3
8371,3
8370,3
8340,3
8321,3
8320,3
8310,3
8360,3
8330,3
8741,2
8740,2
8751,2
8750,2
8701,2
8700,2
8731,2
8730,2
8781,2
8780,2
8761,2
8760,2
8801,2
8800,2
8711,2
8710,2
8721,2
8720,2
8851,2
8850,2
8520,2
8535,2
8505,2
8530,2
8501,2
8500,2
8566,2
8565,2
8515,2
8540,2
8510,2
8136,2
8135,2
8155,2
8141,2
8140,2
8131,2
8130,2
8161,2
8160,2
8145,2
8219,2
8220,2
8210,2
8185,2
8175,2
8166,2
8165,2
8225,2
8215,2
8207,2
8180,2
8171,2
8170,2
8204,2
8205,2
8223,2
8222,2
8661,2
8660,2
8651,2
8650,2
8670,2
8681,2
8680,2
8656,2
8655,2
8676,2
8675,2
8665,2
9001,3
9000,3
9800,3
9101,3
9100,3
9870,3
9860,3
9510,3
9840,3
9115,3
9880,3
9810,3
9120,3
9830,3
9890,3
9105,3
9850,3
9820,3
9301,3
9300,3
9305,2
9111,3
9110,3
9381,2
9380,2
9310,2
9376,2
9375,2
9390,2
9395,2
9306,2
9385,2
9371,2
9370,2
9406,3
9405,3
9416,3
9415,3
9425,3
9400,3
9450,2
9435,3
9430,3
9420,3
9445,3
9455,3
9460,3
9440,3
9725,3
9700,3
9735,3
9710,4
9740,3
9720,3
9705,3
9750,3
9715,3
9755,4
9500,3
9745,3
9730,3
9346,2
9345,2
9316,2
9315,2
9325,2
9365,2
9355,2
9350,2
9331,2
9330,2
9360,2
9340,2
9335,2
9600,4
9605,4
9635,4
9660,4
9640,4
9650,4
9520,3
9645,3
9665,4
9670,3
9620,4
9630,4
9625,4
9655,4
9615,4
9610,4
9156,2
9155,2
9125,3
9146,3
9145,3
9151,3
9150,3
9321,2
9320,2
9161,2
9160,2
9250,2
9141,2
9140,2
9130,3
9136,3
9135,3
9210,2
9201,2
9200,2
9220,2
9230,2
9241,2
9240,2
9261,2
9260,2
10001,2
10003,2
10000,2
10002,2
10111,2
10110,2
10181,2
10180,2
10521,2
10520,2
10701,2
10700,2
10031,2
10511,2
10510,2
10101,2
10100,2
10500,2
10421,2
10420,2
10460,2
10470,2
10401,2
10400,2
10441,2
10440,2
10450,2
10431,2
10430,2
10410,2
10621,3
10620,3
10741,2
10740,2
10761,2
10760,2
10601,3
10600,3
10755,2
10611,3
10610,3
10605,3
10615,3
10745,3
10841,2
10840,2
10860,2
10830,2
10851,2
10850,2
10641,3
10660,3
10670,3
10680,3
10685,2
10690,2
10770,2
10771,2
10775,2
10780,2
10800,2
10801,2
10810,2
10820,2
10131,2
10130,2
10151,2
10150,2
10160,2
10171,2
10170,2
10141,2
10140,2
10121,2
10120,2
10881,2
10880,2
10891,2
10890,2
10870,2
10221,2
10220,2
10231,2
10230,2
10211,2
10210,2
10201,2
10200,2
10261,2
10260,2
10241,2
10240,2
10351,2
10350,2
10301,2
10300,2
10251,2
10250,2
10531,3
10530,3
10631,3
10640,3
10550,3
10650,3
10626,3
10630,3
10560,3
10541,3
10540,3
10711,2
10710,2
10590,2
10580,2
10731,2
10730,2
10705,2
10721,2
10720,2
10750,2
10570,2
